lad_code,transaction_count,median_price_ppd,mean_price_ppd,lower_quartile_ppd,lad_name,region_code,region_name,median_price_ons,median_earnings,affordability_ratio,imd_score_wtd
E07000113,2084,307000.0,334274.2840690979,245000.0,Swale,E12000008,South East,280000.0,29831.0,10.291307700043578,27.07550628850467
E07000114,1928,290000.0,314036.6794605809,220000.0,Thanet,E12000008,South East,285000.0,27076.0,10.710592406559314,31.313619938207136
E07000115,1915,410000.0,463220.0558746737,315000.0,Tonbridge and Malling,E12000008,South East,375000.0,31472.0,13.02745297407219,13.332679191279942
E07000116,1719,425000.0,530814.5828970332,316750.0,Tunbridge Wells,E12000008,South East,410000.0,30296.0,14.028254555056773,11.310038092787927
E07000117,1478,130000.0,153632.89851150202,81125.0,Burnley,E12000002,North West,118000.0,27128.0,4.792096726629313,37.79338403887145
E07000118,1597,220000.0,255532.52410770196,155000.0,Chorley,E12000002,North West,188000.0,29415.0,7.479177290498045,16.86314095184992
E07000119,1446,240497.5,275032.2150760719,170000.0,Fylde,E12000002,North West,212500.0,36962.0,6.506614901791028,15.874918320114421
E07000120,1133,132000.0,151156.8420123566,90000.0,Hyndburn,E12000002,North West,120000.0,27323.0,4.831094682135929,34.332791432102155
E07000121,1920,198750.0,235582.325,150000.0,Lancaster,E12000002,North West,175000.0,29091.0,6.832009899969062,24.164914834929863
E07000122,1283,138450.0,168733.81293842557,92000.0,Pendle,E12000002,North West,128975.0,28099.0,4.92722160930994,30.723193149847095
E07000123,2093,208000.0,231034.82035355948,135000.0,Preston,E12000002,North West,155000.0,32655.0,6.369621803705405,29.530761562617936
E07000124,1070,265000.0,318005.4495327103,187625.0,Ribble Valley,E12000002,North West,240250.0,41474.0,6.389545257269615,10.593864403014406
E07000125,1019,184995.0,215855.2914622179,135000.0,Rossendale,E12000002,North West,165000.0,27288.0,6.779353562005277,24.061505574922933
E07000126,1824,208000.0,237585.07236842104,161000.0,South Ribble,E12000002,North West,180000.0,30126.0,6.904335125804953,15.330010730728905
E07000127,1617,240000.0,285498.1403834261,175000.0,West Lancashire,E12000002,North West,197500.0,28909.0,8.301912899097166,18.644482983944098
E07000128,1920,195000.0,223827.5067708333,146400.0,Wyre,E12000002,North West,171000.0,27657.0,7.050656253389739,20.857837629854124
E07000129,1432,275000.0,303593.3086592179,233000.0,Blaby,E12000004,East Midlands,253500.0,33327.0,8.251567797881597,10.628682618467877
E07000130,2399,270000.0,312357.8403501459,217500.0,Charnwood,E12000004,East Midlands,240000.0,32435.0,8.32434098967165,13.237586834278147
E07000131,1677,344950.0,384542.8992248062,257500.0,Harborough,E12000004,East Midlands,310000.0,28618.0,12.053602627716822,8.014496020710391
E07000132,1834,260000.0,297859.7726281352,208000.0,Hinckley and Bosworth,E12000004,East Midlands,235000.0,34606.0,7.513148009015778,13.460977357899871
E07000133,962,272000.0,311417.54054054053,210000.0,Melton,E12000004,East Midlands,249950.0,26700.0,10.187265917602996,12.532510636627679
E07000134,1735,272995.0,297987.02305475506,216000.0,North West Leicestershire,E12000004,East Midlands,235000.0,30034.0,9.089531863887592,14.573204515026054
E07000135,756,275000.0,307166.21428571426,222500.0,Oadby and Wigston,E12000004,East Midlands,248000.0,23103.0,11.903216032549883,12.958279526293229
E07000136,932,200000.0,218627.4356223176,155000.0,Boston,E12000004,East Midlands,180000.0,26187.0,7.637377324626724,22.967301503386746
E07000137,2161,220000.0,245041.6122165664,165000.0,East Lindsey,E12000004,East Midlands,199950.0,26724.0,8.23230055380931,29.89153743807399
E07000138,1137,180000.0,202200.6437994723,140000.0,Lincoln,E12000004,East Midlands,175000.0,29482.0,6.105420256427651,26.88913969740709
E07000139,1848,231475.0,261489.53084415584,187500.0,North Kesteven,E12000004,East Midlands,227000.0,29941.0,7.731037707491399,11.553116119658426
